date,title,price,weight,kind,site,location
2022-08-24 12:42:16,"가정용 아오리사과 7.5kg 꼬마소과 32-48과내외, 단품",16900,7.5,아오리,Coupang,
2022-08-24 12:42:19,"2022여름수확 꿀맛 홍로 햇사과 5kg 20과내외 밀양얼음골 하나팜농장 해발450m 당도최고, 1개",35700,5,홍로,Coupang,경상남도
2022-08-24 12:42:24,"2022년 수확 빨간사과 [이음몰] 아삭 세척 사과 2.5kg, 1box, 4_아삭 2.5kg 정품 [중과~중소과] (9~11과)",19900,2.5,,Coupang,
2022-08-24 12:42:29,저탄소인증 장수사과 12과 햇사과 추석 크레아팜 베스트 명절선물 세트,36000,0,,Coupang,전라북도
2022-08-24 12:42:44,"[수창이네:마켓] 고당도 가을수확 햇 사과 못난이 홍로 감홍 시나노 요까 양광 흠집사과 가정용 선물용 5kg 9kg, 수창이네 가정용 A급 흠집사과 5kg, 04.홍로 5kg 대과(17과내)",33900,5,홍로,Coupang,
2022-08-24 12:42:52,"[명품농원] 당도선별 문경사과 선물세트 가정용 홍로 5kg, 1박스, 09. 명품농원 소과 5kg(24~26과)-어린이용",29000,5,홍로,Coupang,경상북도
2022-08-24 12:42:56,"경북 청송 새콤달콤 햇 아오리 사과 썸머킹 청사과 풋사과 여름사과, 1.2kg내외-6과",9900,1.2,아오리,Coupang,경상남도
2022-08-24 12:42:59,"[명가] 경북 가정용 꿀사과 특가판매중, 1박스, 05.가정용흠과 사과 5kg/소과",26300,5,,Coupang,경상남도
2022-08-24 12:43:02,"아오리사과 4kg 정말 맛있는 사과 농원직송, 1박스, 4kg(아오리사과/26-29과)",13200,4,아오리,Coupang,
2022-08-24 12:43:06,"직거래농민장터 명품 장수 홍로 사과 10kg 5kg 고당도, 장수 사과 5kg 23-25과",29900,5,홍로,Coupang,전라북도
2022-08-24 12:43:10,"공주네농장 새벽이슬맺힌 당도선별 사과 꿀 부사사과, 1박스, 01. 가정용 흠과 2KG / 소과",13800,2,부사,Coupang,충청남도
2022-08-24 12:43:17,"[명품농원] 당도선별 문경사과 선물세트 가정용 홍로 5kg, 1박스, 10. 가정용 소과 5kg(24~26과)-흠과",23000,5,홍로,Coupang,경상북도
2022-08-24 12:43:19,김보선님 여름제철 미니사과 루비에스 2kg 22년산,22500,2,,Coupang,
2022-08-24 12:43:23,"[행복농원]경북 가정용 흠과 실속형 사과2kg 5kg 10kg초특가행사, 1box, 01) 2kg가정용 흠과사과/주스용/혼합과",15000,2,,Coupang,
2022-08-24 12:43:34,"경북 안동 명품 사과 5kg 선물세트 아오리 홍로 아리수 부사 안동댁사과 유명한곳 5키로 한박스 맛있는 꿀 햇 명품 프리미엄 가정용 흠집 흠사과 청 풋 못난이 기스, 02.홍로, 02.정품 사과 3kg, 10과 내외 (중과)",29300,3,홍로,Coupang,경상남도
2022-08-24 12:43:37,"[요리하는아빠] 영천 햇 미니사과 알프스오토메 2kg, 미니사과2kg 상",17300,2,,Coupang,경상북도
2022-08-24 12:43:41,"[명품농원] 당도선별 문경사과 선물세트 가정용 홍로 5kg, 1박스, 02. 가정용 대과 5kg(14~16과)-흠과",35000,5,홍로,Coupang,경상북도
2022-08-24 12:43:43,"사과사랑 아삭아삭 사과, 가정용 사과 8kg 중대과",22900,8,,Coupang,
2022-08-24 12:43:54,"경북 안동 명품 사과 5kg 선물세트 아오리 홍로 아리수 부사 안동댁사과 유명한곳 5키로 한박스 맛있는 꿀 햇 명품 프리미엄 가정용 흠집 흠사과 청 풋 못난이 기스, 01. 햇 아오리 사과, 5kg 중과, 19-22과 정품",28900,5,홍로,Coupang,경상남도
2022-08-24 12:43:57,"바른식탁 가정용 홍로 사과 5kg 꼬마소과, 1",13900,5,홍로,Coupang,
